filename,module,acc,accm,amloc,an,anpm,asom,auv,bd,bf,cbo,da,dbz,df,dit,dnp,dupv,fgbo,lcom4,loc,mlk,mmloc,noa,noc,nom,npa,npm,obaa,osf,pitfc,rfc,rogu,rsva,saigv,sc,ua,uaf,uav
jni/feature_mos/src/mosaic/AlignFeatures.cpp,AlignFeatures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jni/feature_mos/src/mosaic/AlignFeatures.h/jni/feature_mos/src/mosaic/AlignFeatures.cpp,Align,3,2.28571428571429,27.2857142857143,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,191,0,87,23,0,7,11,7,0,0,0,76,0,0,0,4,0,0,0
jni/feature_mos/src/mosaic/Blend.cpp/jni/feature_mos/src/mosaic/Blend.h,Blend,9,8.85,66.85,0,3.5,0,0,0,0,18,0,0,0,0,0,0,0,2,1337,0,216,32,0,20,17,6,0,0,0,311,0,0,0,36,0,0,0
jni/feature_mos/src/mosaic/CSite.h,SEdgeVector,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
jni/feature_mos/src/mosaic/CSite.h,SVec2d,6,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
jni/feature_mos/src/mosaic/CSite.h,CSite,7,1,1,0,0.25,0,0,0,0,18,0,0,0,0,0,0,0,6,12,0,1,4,0,12,0,12,0,0,0,24,0,0,0,108,0,0,0
jni/feature_mos/src/mosaic/Delaunay.cpp/jni/feature_mos/src/mosaic/Delaunay.h,Delaunay,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jni/feature_mos/src/mosaic/Delaunay.h/jni/feature_mos/src/mosaic/Delaunay.cpp,CDelaunay,1,3.12903225806452,17.5161290322581,0,2.06451612903226,0,0,0,0,19,0,0,0,0,0,0,0,3,543,0,101,10,0,31,1,6,0,0,0,134,0,0,0,57,0,0,0
jni/feature_mos/src/mosaic/EdgePointerUtil.h,EdgePointerUtil,7,1,4,0,1,0,0,0,0,19,0,0,0,0,0,0,0,3,12,0,4,0,0,3,0,3,0,0,0,3,0,0,0,57,0,0,0
jni/feature_mos/src/mosaic/Geometry.h,Geometry,4,3.28571428571429,16.2857142857143,0,4.57142857142857,0,0,0,0,19,0,0,0,0,0,0,0,6,114,0,63,0,0,7,0,7,0,0,0,18,0,0,0,114,0,0,0
jni/feature_mos/src/mosaic/ImageUtils.h/jni/feature_mos/src/mosaic/ImageUtils.cpp,ImageUtils,5,7.5,25.3333333333333,0,3.25,0,0,0,0,19,0,0,0,0,0,0,0,9,304,0,44,11,0,12,2,12,0,0,0,54,0,0,0,171,0,0,0
jni/feature_mos/src/mosaic/ImageUtils.h/jni/feature_mos/src/mosaic/ImageUtils.cpp,BimageInfo,8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
jni/feature_mos/src/mosaic/ImageUtils.h/jni/feature_mos/src/mosaic/ImageUtils.cpp,YUVinfo,6,2.5,24.5,0,2,0,0,0,0,19,0,0,0,0,0,0,0,1,49,0,39,3,0,2,3,2,0,0,0,19,0,0,0,19,0,0,0
jni/feature_mos/src/mosaic/Interp.h,Interp,1,1,33,0,5,0,0,0,0,19,0,0,0,0,0,0,0,1,33,0,33,1,0,1,1,1,0,0,0,4,0,0,0,19,0,0,0
jni/feature_mos/src/mosaic/Log.h,Log,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jni/feature_mos/src/mosaic/MatrixUtils.h,Matrix33,0,1.25,7,0,1,0,0,0,0,19,0,0,0,0,0,0,0,2,28,0,14,1,0,4,1,4,0,0,0,7,0,0,0,38,0,0,0
jni/feature_mos/src/mosaic/MatrixUtils.h,Matrix9,0,1.25,7,0,1,0,0,0,0,19,0,0,0,0,0,0,0,2,28,0,14,1,0,4,1,4,0,0,0,7,0,0,0,38,0,0,0
jni/feature_mos/src/mosaic/Mosaic.cpp/jni/feature_mos/src/mosaic/Mosaic.h,Mosaic,6,3.5,21.3,0,1.3,0,0,0,0,21,0,0,0,0,0,0,0,1,213,0,62,20,0,10,5,9,0,0,0,97,0,0,0,21,0,0,0
jni/feature_mos/src/mosaic/MosaicTypes.h,MosaicRect,6,1,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,12,0,4,4,0,3,4,3,0,0,0,11,0,0,0,21,0,0,0
jni/feature_mos/src/mosaic/MosaicTypes.h,BlendRect,7,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
jni/feature_mos/src/mosaic/MosaicTypes.h,MosaicFrame,7,1.42857142857143,4.71428571428571,0,1,0,0,0,0,21,0,0,0,0,0,0,0,2,33,0,8,7,0,7,7,7,0,0,0,26,0,0,0,42,0,0,0
jni/feature_mos/src/mosaic/MosaicTypes.h,BlendParams,12,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
jni/feature_mos/src/mosaic/Pyramid.h/jni/feature_mos/src/mosaic/Pyramid.cpp,Pyramid,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jni/feature_mos/src/mosaic/Pyramid.h/jni/feature_mos/src/mosaic/Pyramid.cpp,PyramidShort,5,3.9,22.8,0,3.3,0,0,0,0,21,0,0,0,0,0,0,0,2,228,0,40,6,0,10,6,10,0,0,0,52,0,0,0,42,0,0,0
jni/feature_mos/src/mosaic/trsMatrix.cpp/jni/feature_mos/src/mosaic/trsMatrix.h,trsMatrix,9,1,10.1428571428571,0,3,0,0,0,0,21,0,0,0,0,0,0,0,6,71,0,21,0,0,7,0,7,0,0,0,9,0,0,0,126,0,0,0
jni/feature_mos/src/mosaic_renderer/FrameBuffer.h/jni/feature_mos/src/mosaic_renderer/FrameBuffer.cpp,FrameBuffer,3,1.5,7.66666666666667,0,0.333333333333333,0,0,0,0,22,0,0,0,0,0,0,0,3,92,0,44,5,0,12,0,10,0,0,0,37,0,0,0,66,0,0,0
jni/feature_mos/src/mosaic_renderer/Renderer.cpp/jni/feature_mos/src/mosaic_renderer/Renderer.h,Renderer,12,2.27777777777778,10.7222222222222,0,0.833333333333333,0,0,0,0,23,0,0,0,0,0,0,0,6,193,0,48,11,3,18,0,11,0,0,0,56,0,0,0,138,0,0,0
jni/feature_mos/src/mosaic_renderer/SurfaceTextureRenderer.cpp/jni/feature_mos/src/mosaic_renderer/SurfaceTextureRenderer.h,SurfaceTextureRenderer,3,2.11111111111111,15.7777777777778,0,0.888888888888889,0,0,0,0,25,0,0,0,1,0,0,0,3,142,0,40,11,0,9,4,7,0,0,0,38,0,0,0,75,0,0,0
jni/feature_mos/src/mosaic_renderer/WarpRenderer.cpp/jni/feature_mos/src/mosaic_renderer/WarpRenderer.h,WarpRenderer,3,2.25,18.5,0,0.875,0,0,0,0,25,0,0,0,1,0,0,0,3,148,0,49,14,0,8,3,6,0,0,0,39,0,0,0,75,0,0,0
jni/feature_mos/src/mosaic_renderer/YVURenderer.cpp/jni/feature_mos/src/mosaic_renderer/YVURenderer.h,YVURenderer,4,2.33333333333333,20,0,0,0,0,0,0,25,0,0,0,1,0,0,0,3,120,0,44,6,0,6,3,4,0,0,0,27,0,0,0,75,0,0,0
