filename,module,acc,accm,amloc,an,anpm,asom,auv,bd,bf,cbo,da,dbz,df,dit,dnp,dupv,fgbo,lcom4,loc,mlk,mmloc,noa,noc,nom,npa,npm,obaa,osf,pitfc,rfc,rogu,rsva,saigv,sc,ua,uaf,uav
nci/jni/CondVar.h/nci/jni/CondVar.cpp,CondVar,3,2.4,12.8,0,0.6,0,0,0,0,1,0,0,0,0,0,0,0,1,64,0,28,1,0,5,0,5,0,0,0,12,0,0,0,1,0,0,0
nci/jni/DataQueue.h/nci/jni/DataQueue.cpp,DataQueue,0,2,16.4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,82,0,34,2,0,5,0,5,0,0,0,24,0,0,0,4,0,0,0
nci/jni/DataQueue.h/nci/jni/DataQueue.cpp,DataQueue::tHeader,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
nci/jni/IntervalTimer.h/nci/jni/IntervalTimer.cpp,IntervalTimer,3,2.6,13.4,0,0.6,0,0,0,0,2,0,0,0,0,0,0,0,1,67,0,30,2,0,5,1,5,0,0,0,16,0,0,0,2,0,0,0
nci/jni/Mutex.h/nci/jni/Mutex.cpp,Mutex,31,1.83333333333333,7.66666666666667,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,46,0,9,1,0,6,0,6,0,0,0,12,0,0,0,2,0,0,0
nci/jni/Mutex.h/nci/jni/Mutex.cpp,Mutex::Autolock,0,1,1,0,0.666666666666667,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,1,1,0,3,0,3,0,0,0,9,0,0,0,2,0,0,0
nci/jni/NativeLlcpConnectionlessSocket.cpp,NativeLlcpConnectionlessSocket,0,3,22.7142857142857,0,1.85714285714286,0,0,0,0,3,0,0,0,0,0,0,0,6,159,0,75,5,0,7,5,7,0,0,0,17,0,0,0,18,0,0,0
nci/jni/NativeLlcpServiceSocket.cpp,NativeLlcpServiceSocket,0,3,24,0,2.66666666666667,0,0,0,0,6,0,0,0,0,0,0,0,3,72,0,53,0,0,3,0,3,0,0,0,10,0,0,0,18,0,0,0
nci/jni/NativeLlcpSocket.cpp,NativeLlcpSocket,0,1.25,11.875,0,2.375,0,0,0,0,7,0,0,0,0,0,0,0,8,95,0,21,0,0,8,0,8,0,0,0,23,0,0,0,56,0,0,0
nci/jni/NativeNfcManager.cpp,NativeNfcManager,18,3.7962962962963,25.9444444444444,0,1.98148148148148,0,0,0,0,13,0,0,0,0,0,0,0,22,1401,0,298,45,0,54,45,54,0,0,0,256,0,0,0,286,0,0,0
nci/jni/NativeNfcTag.cpp,NativeNfcTag,0,4.73529411764706,29.7647058823529,0,1.97058823529412,0,0,0,0,14,0,0,0,0,0,0,0,24,1012,0,113,37,0,34,37,34,0,0,0,131,0,0,0,336,0,0,0
nci/jni/NativeP2pDevice.cpp,NativeP2pDevice,0,1,5.16666666666667,0,2.16666666666667,0,0,0,0,14,0,0,0,0,0,0,0,6,31,0,6,0,0,6,0,6,0,0,0,6,0,0,0,84,0,0,0
nci/jni/NfcJniUtil.cpp/nci/jni/NfcJniUtil.h,NfcJniUtil,4,2.27272727272727,12.0909090909091,0,1.63636363636364,0,0,0,0,15,0,0,0,0,0,0,0,11,133,0,27,0,0,11,0,11,0,0,0,21,0,0,0,165,0,0,0
nci/jni/NfcJniUtil.h/nci/jni/NfcJniUtil.cpp,nfc_jni_native_data,39,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
nci/jni/NfcJniUtil.h/nci/jni/NfcJniUtil.cpp,ScopedAttach,0,1,4,0,1,0,0,0,0,15,0,0,0,0,0,0,0,1,8,0,4,1,0,2,0,2,0,0,0,4,0,0,0,15,0,0,0
nci/jni/NfcTag.cpp/nci/jni/NfcTag.h,NfcTag,18,4.38461538461539,27.3846153846154,0,0.974358974358974,0,0,0,0,15,0,0,0,0,0,0,0,4,1068,0,116,22,0,39,5,28,0,0,0,154,0,0,0,60,0,0,0
