app,classes,total_cof
BasicSmsReceiver,5,0.0833333333
Calculator,10,0.1666666667
Calendar,216,0.014844599
Camera,253,0.0195566939
Browser,259,0.0161825476
Bluetooth,239,0.0259014998
ContactsCommon,292,0.0110795118
DeskClock,121,0.0343837535
Dialer,215,0.0119125971
Gallery,89,0.0432340648
Email,400,0.0083122379
Exchange,135,0.0253619122
HTMLViewer,4,0.3333333333
Music,75,0.0111069974
InCallUI,117,0.028035982
Nfc,178,0.0273497689
LegacyCamera,214,0.0230312694
Launcher2,161,0.0415487421
PackageInstaller,19,0.0653594771
QuickSearchBox,196,0.0111551679
Contacts,265,0.0070284595
Camera2,462,0.0079222861
Launcher3,354,0.0148564254
SoundRecorder,6,0.95
Terminal,17,0.1416666667
Settings,722,0.0040414548
Gallery2,895,0.0055753048
UnifiedEmail,872,0.0044023912
